text,language,AI_Detection,AI_Probability
123 days til the JB concert. 44 days til I move to ABAC  Can't wait!!!!,en,AI-Generated,0.9560838341712952
Ed O'Neill Australia Great pictures!,en,Human,0.00479136174544692
"Jimmy is an inspiration! Despite facing some criticisms, he continues to motivate and inspire others with his outstanding dedication and passion. Despite his unique teachings, he still continues to evolve and adapt his techniques. His unwavering determination speaks volumes about his character. He consistently surprises me with his commitment to making a difference. I'm glad he's not giving up despite the many hardships that he has encountered. Everyone should take inspiration from him. It is impressive how he has the capacity to adapt and teach various things. Overall, his message is genuinely uplifting. I am glad he is not giving up, even with the difficulties he has encountered. It is truly admirable!",en,AI-Generated,0.5846054553985596
..pat @.Yuma. welcome back hun,en,Human,0.15567578375339508
Here are some tips on how to shave with Faje'e.,en,AI-Generated,0.537966251373291
heart:: Welcome [USER]!,en,AI-Generated,0.5577861070632935
Hello! You are a good helper!,en,Human,0.00636332668364048
nani hapa ameteather yf!?!,en,Human,0.12373616546392441
I feel it. How about you?,en,Human,0.44785192608833313
"The relentless echo of your departing footsteps fades into the fathomless void, leaving you stranded in the disquieting grip of isolation. The once vibrant world around you transforms into an indifferent bystander to your solitary plight. You become a desolate island, adrift in a sea of emptiness.The weight of your seclusion bears down upon you like an oppressive mantle. The absence of familiar voices and the comforting presence of others carves a gaping void within you, a hollowness that threatens to consume you whole. Every creak of the floorboards, every whisper of wind through your windowpane, amplifies the deafening silence that encases you.But amidst this suffocating desolation, a spark of defiance ignites within your being. You refuse to surrender to the suffocating silence. You will find a way to shatter the chains of solitude and forge your own path forward.In the depths of your isolation, you discover an unyielding strength, a resilience you never knew you possessed. You delve into the hidden recesses of your soul, summoning the dormant reserves of courage within you. You will not be defined by your loneliness.",en,AI-Generated,0.9998226761817932
"5:00 PM, You:Considering mini golf for an enjoyable alternative this evening instead",en,AI-Generated,0.8142469525337219
"Hey, I found True Balance App that lets you Check & Recharge Mobile Balance, Earn Rewards, all in one go! Try it : http://share.tbal.io/v2/app?m=1&code=2DW9PKY8",en,AI-Generated,0.9989609718322754
"""I understand that my actions caused harm to others and I regret not addressing them sooner. I understand that my actions have negatively affected the relationships you've built with others. I'm willing to make amends and ensure that",en,Human,0.007249975576996803
"When it comes to creating an exceptional album, Linkin Park has outdone themselves with their masterpiece, Hybrid Theory. This album is a true work of art that will forever stand out as their most exceptional work to date. Listening",en,Human,0.199676513671875
Glory to Liberty!!!,en,Human,0.00034456796129234135
Heading to church today and getting a few prayers from the elders.,en,AI-Generated,0.5006517171859741
hijust got home:D:DDD,en,AI-Generated,0.5420213341712952
This event is truly extraordinary! 🎉😊,en,AI-Generated,0.5516023635864258
"I see you are enjoying the witty humor of the joke. Your description of it is quite elaborate, highlighting its superior quality and your amusement. Here's a rendition of your input text using different words and sentence composition, while retaining the core sentiment:""Wow, you're absolutely right! This joke is freaking hilarious, a masterpiece of comedic genius. Its brilliance is undeniable, leaving me in stitches. Your description perfectly captures its sheer awesomeness.",en,AI-Generated,0.9154338240623474
@ yoko71 It was truly amazing!,en,Human,0.1365412175655365
@ JacksonEdD I would be thrilled to have the opportunity to try that out too.,en,AI-Generated,0.5173574090003967
Hello friends! What exciting events are happening in different parts of the world today? Is,en,AI-Generated,0.7528918385505676
"Können Priester eigentlich heiraten? Natürlich, warum sollte es nicht erlaubt sein - solange ihre Zuneigung zueinander aufrichtig ist.",en,AI-Generated,0.9324845671653748
"*LIONEL MESSI COMMITS TO BARCELONA: Argentina's prolific footballer, Lionel Messi, has reaffirmed his bond with Barcelona Football Club by signing a new contract that runs through 2021. Set to expire in 2018, Messi's new agreement prolongs his association with the Spanish powerhouse for another four years. The terms of a signing ceremony have not been disclosed yet, but it's anticipated that the event will transpire following Messi's time off for his wedding with Antonella Roccuzzo. A statement disclosed, ""Barcelona FC and Lionel Messi have arrived at a consensus, and the Argentine maestro has vowed to stay with the Spanish club until the conclusion of June 2021."" Rumors regarding the financial dimensions of the deal persist, including talks of a hefty €300 million",en,AI-Generated,0.9997937083244324
If you want to get more useful results,en,Human,0.13857921957969666
"Greetings, Kyle! I wish you a fantastic birthday and all the joys that come with it.",en,Human,0.13829800486564636
"Greetings! At present, I find myself in a lively mood with a zest for amusement. My predilection is centered around humor and the sharing of amusing",en,AI-Generated,0.9519039392471313
Spicer: Hello everyone! I'm not being hateful at all! Why don't you try reading a real survey for once and getting a balanced perspective instead of,en,AI-Generated,0.7715853452682495
"Oh my, this anime is absolutely delightful! It will surely leave you wanting more. Highly recommend! #Konos",en,Human,0.10025985538959503
Starting a fresh adventure on Twitter.,en,Human,0.2034086138010025
"Bangladesh has won the match.  To get slow cricket updates, please send SLOW in the group.",en,AI-Generated,0.5173873901367188
"<0xF0><0x9F><0x8F><0x8F> Match Codes - [PHONE] - *sc170* - Pakistan Vs World XI* - [PHONE], 07:30 PM IST *sc101* - Middlesex Vs Hampshire* - [PHONE], 03:00 PM IST *sc102* - Surrey Vs Yorkshire* - [PHONE], 03:00 PM IST *sc103* - Somerset Vs Lancashire* - [PHONE], 03:00 PM IST *sc104* - Warwickshire Vs Essex* - [PHONE], 03:00 PM IST 💥Duleep Trophy*sc158* - India Blue Vs India Red* - [PHONE], 02:00 PM IST 💥County Div Two*sc201* - *Scottish Borders Vs Highlands* - [PHONE], 08:00 PM IST *sc201* - *Northern Ireland Vs Wales* - [PHONE], 08:00 PM IST",en,Human,0.0064820824190974236
Purchase items at low prices with 15% cashback & free shipping. https://www.lootdealsindia.in/incredible-deals-15-cashback-free-shipping-paytm/,en,AI-Generated,0.9892486333847046
"I apologize, but I cannot produce inappropriate or offensive content. Is there anything else I can assist you with?",en,Human,0.039580926299095154
*Flipkart Big 10 Sale Offers*    *Flipkart Big 10 Special Loot Offers*     *1. HP Pendrive -* Rs. 1 Only.    *2. Redmi Note 4 Mobile -* Rs. 1299 Only.    *3. Philips Trimmer -* Rs 6 Only.    *4. Jbl Bluetooth Speaker -* Rs 59 Only.    *Order Now -* http://flipkart.big10-sale.com    *Offer Valid For Limited Time only.*     *( Free Delivery And Cash On Delivery Also Available).*,en,AI-Generated,0.9995594620704651
I am very keen to learn more about this.,en,Human,0.18932370841503143
Jonas brothers - Fly with me  &lt;3&lt;3&lt;3,en,Human,0.4076237380504608
"Behold the stunning artwork of Toshkanjon in Andijon, expertly crafted by Bojalar. Now accessible on XITUZ's digital portal and our primary website, www.xit.uz. Indulge in the beauty 🖼.",en,AI-Generated,0.999541163444519
"Best price :- *Men’s Branded T-Shirts Sale (Sleeveless, Polos, Round Neck, V Neck)* #discount #tshirts #menswear #mensclothing #clothing #shirt #sweatshirt #summer #spring #winter #holiday #sports #men #women #womens",en,AI-Generated,0.9985717535018921
"Oh, estoy en una situación de escasez de dinero.",en,Human,0.4255194365978241
"Although the Kia Stinger displays commendable performance, it trails behind its rival models in certain aspects.",en,AI-Generated,0.9856706261634827
